[2018-05-30T10:42:59.309Z] APP STARTED[2018-05-30T10:42:59.319Z] Server started on 5001
[2018-05-30T10:44:15.514Z] AzureService | getUserSubscriptions: 
[2018-05-30T10:44:15.995Z] AzureService | getResourceGroups: 
[2018-05-30T10:44:16.175Z] AzureService | getNamespaces: emobility-dev
[2018-05-30T10:44:26.465Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T10:44:31.106Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:44:54.545Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:45:40.926Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T10:46:38.032Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:46:39.894Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:48:22.915Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T10:49:28.271Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T10:49:32.370Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:50:05.241Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:50:19.092Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:50:22.982Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:50:24.011Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:50:52.713Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T10:50:55.734Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:50:58.688Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:50:59.893Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:52:36.368Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T10:52:39.222Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:52:42.197Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:53:02.285Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T10:53:08.610Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T10:53:11.114Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:53:12.633Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:53:27.951Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:53:54.807Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:54:04.268Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T10:54:06.852Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:12.071Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:13.174Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:13.725Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:14.107Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:14.774Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:16.043Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
